TimeStart,TF,Open,High,Low,Close,Volume
2025-05-16 20:35:00,Min5,103908,103932,103105,103614,0.0044
2025-05-16 20:40:00,Min5,103581,103928,103114,103693,0.0030
2025-05-16 20:45:00,Min5,103998,104034,103168,103168,0.0034
2025-05-16 20:50:00,Min5,103882,104031,103231,104031,0.0049
2025-05-16 20:55:00,Min5,103350,104069,103270,103955,0.0049
2025-05-16 21:00:00,Min5,104199,104261,103332,103526,0.0061
2025-05-16 21:05:00,Min5,103468,104244,103344,103465,0.0134
2025-05-16 21:10:00,Min5,104073,104073,103345,103811,0.0051
2025-05-16 21:15:00,Min5,103840,104147,103335,103424,0.0104
2025-05-16 21:20:00,Min5,103290,104135,103129,103129,0.0098
2025-05-16 21:25:00,Min5,104018,104018,103057,103305,0.0027
2025-05-16 21:30:00,Min5,103871,104001,103058,103200,0.0056
2025-05-16 21:35:00,Min5,103805,104182,103190,103287,0.0049
2025-05-16 21:40:00,Min5,103317,104099,103311,103529,0.0107
2025-05-16 21:45:00,Min5,104012,104015,103341,103341,0.0031
2025-05-16 21:50:00,Min5,104097,104158,103373,103373,0.0060
2025-05-16 21:55:00,Min5,103464,104103,103099,103099,0.0054
2025-05-16 22:00:00,Min5,103419,103940,103063,103210,0.0065
2025-05-16 22:05:00,Min5,103064,103986,102984,103424,0.0052
2025-05-16 22:10:00,Min5,103668,103948,102991,103404,0.0096
2025-05-16 22:15:00,Min5,103885,103885,103102,103645,0.0044
2025-05-16 22:20:00,Min5,103339,103904,103127,103260,0.0077
2025-05-16 22:25:00,Min5,103638,104042,103006,103069,0.0047
2025-05-16 22:30:00,Min5,103102,103810,103010,103155,0.0039
2025-05-16 22:35:00,Min5,103293,103903,103020,103540,0.0038
2025-05-16 22:40:00,Min5,103080,103837,103080,103479,0.0029
2025-05-16 22:45:00,Min5,103661,103918,103048,103918,0.0097
2025-05-16 22:50:00,Min5,103528,103765,103001,103003,0.0036
2025-05-16 22:55:00,Min5,103827,104052,102947,103654,0.0132
2025-05-16 23:00:00,Min5,103170,103753,103140,103666,0.0020
2025-05-16 23:05:00,Min5,103693,104066,103182,104066,0.0062
2025-05-16 23:10:00,Min5,103920,104084,103188,103946,0.0087
2025-05-16 23:15:00,Min5,103782,104021,103051,103671,0.0042
2025-05-16 23:20:00,Min5,103645,104047,103321,103702,0.0086
2025-05-16 23:25:00,Min5,104033,104095,103120,103406,0.0106
2025-05-16 23:30:00,Min5,103840,103973,103202,103287,0.0019
2025-05-16 23:35:00,Min5,103159,104075,103159,103176,0.0053
2025-05-16 23:40:00,Min5,104068,104068,103051,103227,0.0044
2025-05-16 23:45:00,Min5,103817,103877,103089,103791,0.0026
2025-05-16 23:50:00,Min5,103336,103953,103064,103508,0.0032
2025-05-16 23:55:00,Min5,103715,103910,103040,103157,0.0072
2025-05-17 00:00:00,Min5,103003,103927,103003,103594,0.0064
2025-05-17 00:05:00,Min5,103162,103987,102985,103525,0.0051
2025-05-17 00:10:00,Min5,103286,103844,103080,103754,0.0064
2025-05-17 00:15:00,Min5,103095,103933,102980,103759,0.0079
2025-05-17 00:20:00,Min5,103803,103826,103035,103659,0.0044
2025-05-17 00:25:00,Min5,103524,103900,102863,103587,0.0071
2025-05-17 00:30:00,Min5,102962,103703,102822,102822,0.0043
2025-05-17 00:35:00,Min5,102871,103705,102726,102726,0.0060
2025-05-17 00:40:00,Min5,102738,103661,102636,102677,0.0055
2025-05-17 00:45:00,Min5,103537,103537,102706,103196,0.0079
2025-05-17 00:50:00,Min5,103251,103855,102858,102962,0.0061
2025-05-17 00:55:00,Min5,103049,103730,102919,103555,0.0068
2025-05-17 01:00:00,Min5,102912,103627,102682,102847,0.0053
2025-05-17 01:05:00,Min5,103030,103416,102477,102754,0.0043
2025-05-17 01:10:00,Min5,102931,103488,102694,103395,0.0110
2025-05-17 01:15:00,Min5,102900,103414,102437,103187,0.0124
2025-05-17 01:20:00,Min5,102666,103221,102267,103221,0.0016
2025-05-17 01:25:00,Min5,102838,103211,102495,103030,0.0048
2025-05-17 01:30:00,Min5,102669,103399,102567,102567,0.0031
2025-05-17 01:35:00,Min5,102929,103420,102417,102440,0.0036
2025-05-17 01:40:00,Min5,103078,103335,102374,102551,0.0096
2025-05-17 01:45:00,Min5,102716,103068,102394,102601,0.0092
2025-05-17 01:50:00,Min5,102781,103118,102188,102398,0.0078
2025-05-17 01:55:00,Min5,102645,103273,102402,103100,0.0090
2025-05-17 02:00:00,Min5,102777,103533,102348,102695,0.0040
2025-05-17 02:05:00,Min5,103194,103405,102489,103405,0.0027
2025-05-17 02:10:00,Min5,102727,103412,102496,102660,0.0116
2025-05-17 02:15:00,Min5,102366,103368,102289,102683,0.0085
2025-05-17 02:20:00,Min5,103334,103567,102685,103482,0.0101
2025-05-17 02:25:00,Min5,102990,103608,102668,103587,0.0029
2025-05-17 02:30:00,Min5,103337,103659,102727,103482,0.0037
2025-05-17 02:35:00,Min5,103160,103742,102880,103626,0.0038
2025-05-17 02:40:00,Min5,102910,103783,102887,103067,0.0066
2025-05-17 02:45:00,Min5,103508,103604,102893,103604,0.0108
2025-05-17 02:50:00,Min5,103386,103660,102694,103430,0.0091
2025-05-17 02:55:00,Min5,103001,103762,102821,103524,0.0034
2025-05-17 03:00:00,Min5,103239,103667,102847,103649,0.0106
2025-05-17 03:05:00,Min5,103768,103768,102742,103128,0.0122
2025-05-17 03:10:00,Min5,103430,103559,102895,103159,0.0017
2025-05-17 03:15:00,Min5,102959,103517,102959,103080,0.0052
2025-05-17 03:20:00,Min5,103088,103556,102670,103208,0.0055
2025-05-17 03:25:00,Min5,103315,103686,102720,103049,0.0100
2025-05-17 03:30:00,Min5,102989,103712,102790,103394,0.0078
2025-05-17 03:35:00,Min5,103181,103598,102766,103062,0.0040
2025-05-17 03:40:00,Min5,103556,103826,102981,103107,0.0052
2025-05-17 03:45:00,Min5,103755,103863,103107,103635,0.0018
2025-05-17 03:50:00,Min5,103777,103983,102973,103617,0.0074
2025-05-17 03:55:00,Min5,103098,103970,103048,103255,0.0081
2025-05-17 04:00:00,Min5,103165,103974,103150,103173,0.0090
2025-05-17 04:05:00,Min5,103787,103928,103356,103773,0.0098
2025-05-17 04:10:00,Min5,103723,104004,103084,103808,0.0037
2025-05-17 04:15:00,Min5,103108,104049,103073,103073,0.0039
2025-05-17 04:20:00,Min5,103131,104058,103131,104058,0.0125
2025-05-17 04:25:00,Min5,103292,103891,103097,103516,0.0030
2025-05-17 04:30:00,Min5,103243,104101,103107,104006,0.0065
2025-05-17 04:35:00,Min5,103232,104130,103117,103801,0.0066
2025-05-17 04:40:00,Min5,103983,104067,103203,103203,0.0024
2025-05-17 04:45:00,Min5,103826,103845,103107,103509,0.0069
2025-05-17 04:50:00,Min5,103081,103988,103081,103412,0.0078
2025-05-17 04:55:00,Min5,103367,104102,103258,103258,0.0054
2025-05-17 05:00:00,Min5,104135,104135,103258,103463,0.0047
2025-05-17 05:05:00,Min5,103502,104119,103227,103386,0.0157
2025-05-17 05:10:00,Min5,103436,103730,103088,103693,0.0015
2025-05-17 05:15:00,Min5,103773,103988,103215,103891,0.0056
2025-05-17 05:20:00,Min5,103526,103738,103028,103312,0.0071
2025-05-17 05:25:00,Min5,104046,104046,103148,103500,0.0063
2025-05-17 05:30:00,Min5,104017,104017,103055,103139,0.0087
2025-05-17 05:35:00,Min5,103343,103980,103077,103634,0.0075
2025-05-17 05:40:00,Min5,103590,103610,103117,103162,0.0017
2025-05-17 05:45:00,Min5,103857,103910,102976,103059,0.0040
2025-05-17 05:50:00,Min5,103110,103889,102899,102899,0.0028
2025-05-17 05:55:00,Min5,103065,103859,102873,103400,0.0048
2025-05-17 06:00:00,Min5,103836,103944,102834,103824,0.0078
2025-05-17 06:05:00,Min5,103081,103885,103013,103484,0.0079
2025-05-17 06:10:00,Min5,103888,103967,102991,102991,0.0019
2025-05-17 06:15:00,Min5,103303,103894,102944,103598,0.0080
2025-05-17 06:20:00,Min5,103924,103924,102963,103780,0.0065
2025-05-17 06:25:00,Min5,103166,103876,102909,103200,0.0075
2025-05-17 06:30:00,Min5,102957,103744,102957,103288,0.0040
2025-05-17 06:35:00,Min5,103801,103876,102988,103719,0.0075
2025-05-17 06:40:00,Min5,103817,103962,103076,103352,0.0053
2025-05-17 06:45:00,Min5,103024,103955,103024,103607,0.0035
2025-05-17 06:50:00,Min5,103063,103621,102976,103155,0.0081
2025-05-17 06:55:00,Min5,103257,103945,103038,103362,0.0059
2025-05-17 07:00:00,Min5,103894,103916,103171,103740,0.0027
2025-05-17 07:05:00,Min5,103666,103996,103149,103963,0.0072
2025-05-17 07:10:00,Min5,103848,103980,103353,103846,0.0043
2025-05-17 07:15:00,Min5,103365,104041,103168,103456,0.0100
2025-05-17 07:20:00,Min5,103448,103942,103060,103395,0.0077
2025-05-17 07:25:00,Min5,103824,104065,103107,103651,0.0061
2025-05-17 07:30:00,Min5,103706,104011,103105,103193,0.0067
2025-05-17 07:35:00,Min5,103566,104004,103059,104004,0.0084
